,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
58,Senior Integration Systems Engineer (GCP),"https://www.pracuj.pl/praca/senior-integration-systems-engineer-gcp-gdansk-aleja-grunwaldzka-415,oferta,1002995736",,,14 000–29 400 zł / mies. (zal. od umowy),"We're seeking a talented Senior Integration Systems Engineer to work on an exciting project for a leading Swiss company, leveraging Google Cloud to transform their operations and revolutionize their customer experience. This is a unique...",,"['Google Cloud Platform', 'Azure DevOps', 'Terraform', 'Git', 'Bash', 'PowerShell', 'Python']",python,2023-11-28
59,Data Engineer (Snowflake),"https://www.pracuj.pl/praca/data-engineer-snowflake-warszawa-pulawska-39,oferta,1002972233",,,110–160 zł netto (+ VAT) / godz.,"We are looking for a Data Engineer with extensive experience in optimizing query plans and using warehouses in Snowflake. ELT transformations often process and combine very large data sets, and their resulting tables can reach sizes counted in...",,"['Snowflake Data Cloud', 'Python', 'SQL']",python,2023-11-28
60,Senior Data Engineer (Python),"https://www.pracuj.pl/praca/senior-data-engineer-python-warszawa-pulawska-39,oferta,1002972229",,,150–185 zł netto (+ VAT) / godz.,"Senior Data Engineer will be tasked with supporting a large European company on its way to rebuilding and modernizing the way it uses its data. The engineer will be responsible for guiding the customer, providing best practices as well as hands-on...",,"['Python', 'Apache Spark']",python,2023-11-28
61,Senior Data Engineer (GCP),"https://www.pracuj.pl/praca/senior-data-engineer-gcp-warszawa-pulawska-39,oferta,1002972228",,,160–200 zł netto (+ VAT) / godz.,We are working on the project together with the Data domain of the large European Marketplace. The team is responsible for creating and maintaining a Data Platform for about 150 Data Scientists and Analytics. The Data Platform provides data...,,"['Google Cloud Platform', 'Terraform', 'Apache Airflow']",python,2023-11-28
62,Test Automation Engineer,"https://www.pracuj.pl/praca/test-automation-engineer-krakow,oferta,1003004876",,,120–150 zł netto (+ VAT) / godz.,,,[],python,2023-11-28
63,,,,,,"We are looking for a Devops - Public cloud for our IT, technology & product department, which designs and develops the products, services and infrastructures that together build the future of OVHcloud., , Always on the lookout for innovation,...",,"['Python', 'OpenStack', 'Linux', 'Puppet', 'Terraform']",python,2023-11-28
64,SRE/Devops with Python,"https://www.pracuj.pl/praca/sre-devops-with-python-wroclaw,oferta,1002929509",,,,"We are looking for a SRE/Devops with Python for our IT, technology & product department, which designs and develops the products, services and infrastructures that together build the future of OVHcloud., , Always on the lookout for innovation,...",,"['Python', 'Kubernetes', 'Docker']",python,2023-11-28
65,,,,,,"We are looking for a Senior Devops / SRE for our IT, technology & product department, which designs and develops the products, services and infrastructures that together build the future of OVHcloud. Always on the lookout for innovation, these...",,"['Linux', 'Python', 'Docker', 'Ansible', 'Terraform', 'Bash', 'SQL']",python,2023-11-28
66,,,,,,,,[],python,2023-11-28
67,Senior Data Engineer,"https://www.pracuj.pl/praca/senior-data-engineer-warszawa,oferta,1002929212",,,150–180 zł netto (+ VAT) / godz.,,,"['ETL', 'Python', 'SQL', 'AWS', 'PostgreSQL']",python,2023-11-28
68,DevOps Engineer,"https://www.pracuj.pl/praca/devops-engineer-warszawa-woloska-22,oferta,1002975682",,,130–200 zł netto (+ VAT) / godz.,,,"['AWS', 'Azure DevOps', 'Kubernetes', 'Docker', 'Ansible', 'Terraform']",python,2023-11-28
69,DevOps Engineer,"https://www.pracuj.pl/praca/devops-engineer-wroclaw,oferta,1002984218",,,120–170 zł netto (+ VAT) / godz.,"As a DevOps Engineer, you’ll have a chance to participate in various projects (e.g. migrations to cloud, IaC, CI/CD, infrastructure/application deployment). You will be a part of digital transformation, building sophisticated cloud-based...",,"['Microsoft Azure', 'Python', 'PowerShell', 'Bash', 'Git']",python,2023-11-28
70,QA Automation Test Engineer,"https://www.pracuj.pl/praca/qa-automation-test-engineer-krakow,oferta,1002984215",,,,"As a QA Automation Test Engineer, you will work in projects for various industries (including Big Data and AI), using and learning different tools. We have strong expertise in Microsoft technologies (.NET) and cloud environment (Azure), and we...",,"['C#', 'JavaScript', 'Selenium', 'Appium', 'Cypress', 'Playwright']",python,2023-11-28
71,Senior Software Engineer in 3D Vision and Extended Reality Team,"https://www.pracuj.pl/praca/senior-software-engineer-in-3d-vision-and-extended-reality-team-warszawa-plac-europejski-1,oferta,1002946828",,,,"Join our team to develop innovative solutions for visual display products!, We are building a new team focused on researching and prototyping solutions for light field displays., , Technologies in use, • C++, C#, Python, • OpenVR, Direct3D 11,...",,"['C++', 'C#', 'Python', 'Git', 'Visual Studio']",python,2023-11-28
72,Python Developer,"https://www.pracuj.pl/praca/python-developer-warszawa,oferta,1002952297",,,16 000–24 000 zł / mies. (zal. od umowy),Projekt długoterminowy.,,"['Python', 'Microsoft SQL Server', 'Microsoft Azure', 'API']",python,2023-11-28
73,Senior Data Azure Engineer,"https://www.pracuj.pl/praca/senior-data-azure-engineer-wroclaw,oferta,1002952232",,,21 000–27 000 zł / mies. (zal. od umowy),Projekt długoterminowy.,,"['Informatica PowerCenter', 'Informatica Intelligent Cloud Services', 'Microsoft SQL Server', 'Netezza', 'Azure Data Factory', 'Azure Synapse', 'Databricks', 'Apache Spark', 'Python']",python,2023-11-28
74,Cloud SRE Engineer - IT Department,"https://www.pracuj.pl/praca/cloud-sre-engineer-it-department-warszawa-marynarska-12,oferta,1002955437",,,,"SRE (Site Reliability Engineering), czyli Inżynieria Dostępności Systemów IT, to koncepcja stworzona w Google w celu usprawnienia procesów tworzenia i utrzymania systemów informatycznych. Głównym założeniem SRE jest podejście inżynieryjne do...",,"['AWS', 'Azure', 'GCP', 'Node.js', 'Java', 'Kubernetes', 'Docker', 'Prometheus', 'ELK', 'Opensearch', 'Kibana', 'Dynatrace', 'Jenkins', 'JIRA', 'Confluence', 'GIT', 'Gitlab']",python,2023-11-28
75,Starszy Specjalista ds. zarządzania ryzykiem modeli,"https://www.pracuj.pl/praca/starszy-specjalista-ds-zarzadzania-ryzykiem-modeli-warszawa-lopuszanska-38d,oferta,1002958528",,,,,,[],python,2023-11-28
76,,,,,,"Zespół Data Intelligence Solutions zajmuje się dostarczaniem naszym Klientom usług z zakresu szeroko pojętej analityki danych, modelowania hurtowni i Business Intelligence. Wykorzystujemy nowoczesne technologie, jednocześnie stale rozwijamy się i...",,"['Microsoft Power BI', 'DAX', 'DAX Studio', 'Tabular Editor', 'ALM Toolkit', 'SQL']",python,2023-11-28
77,,,,,19 500–28 800 zł netto (+ VAT) / mies.,,,"['AWS', 'Python', 'SQL', 'NoSQL', 'ETL']",python,2023-11-28
78,BI Engineer,"https://www.pracuj.pl/praca/bi-engineer-krakow,oferta,1002967947",,,,,,"['Microsoft Power BI', 'R', 'Python', 'SQL']",python,2023-11-28
79,Manager (AVP) Wholesale Impairment and Stress Testing,"https://www.pracuj.pl/praca/manager-avp-wholesale-impairment-and-stress-testing-krakow-kapelanka-42a,oferta,1002967961",,,,,,['Python'],python,2023-11-28
80,Senior Data Engineer,"https://www.pracuj.pl/praca/senior-data-engineer-warszawa-jana-nowaka-jezioranskiego-53a,oferta,1002968008",,,25 000–32 000 zł / mies. (zal. od umowy),"OPPORTUNITY OVERVIEW, You will work on a project involving modern cloud data lake implementation, leveraging Databricks, CI/CD and cloud services as your daily driver., , YOU ARE, Passionate about cloud and data analytics, inspiring person that...",,"['SQL', 'Microsoft SQL Server', 'PostgreSQL', 'Python', 'Microsoft Azure', 'CI/CD', 'Data Lake', 'DWH', 'ETL/ELT']",python,2023-11-28
81,Business Intelligence (Power BI) Developer,"https://www.pracuj.pl/praca/business-intelligence-power-bi-developer-warszawa-jana-nowaka-jezioranskiego-53a,oferta,1002968010",,,12 000–25 000 zł / mies. (zal. od umowy),"This global project focuses on assisting a vast number of business analysts navigating large-scale data hubs. The role primarily involves translating business logic into DAX, optimizing user-written measures, and training users for enhanced...",,"['Microsoft Power BI', 'DAX', 'SQL', 'Microsoft SQL Server', 'PostgreSQL', 'M language', 'Data lake', 'DWH', 'Python']",python,2023-11-28
82,Ekspert ds. Projektowania i Rozwoju Systemu Prognozowania i Zarządzania Zamówieniami,"https://www.pracuj.pl/praca/ekspert-ds-projektowania-i-rozwoju-systemu-prognozowania-i-zarzadzania-zamowieni-niepolomice-doktora-rudolfa-diesla-1,oferta,1002987100",,,,,,"['Java', 'Python', 'C++']",python,2023-11-28
83,"Internship – Multimedia Camp –C++, Web Intern","https://www.pracuj.pl/praca/internship-multimedia-camp-c%2b%2b-web-intern-warszawa-plac-europejski-1,oferta,1002987569",,,,"This is a yearly team project, where you will become an expert in C++, multimedia and Chromium web engine code., , Your goal will be to develop video streaming features in an open source project, technology behind You Tube and any web-based video...",,"['C++', 'Linux', 'Git', 'Python']",python,2023-11-28
84,,,,,,,,['AWS'],python,2023-11-28
85,,,,,,,,"['Tableau', 'Python', 'R', 'Google Cloud Platform']",python,2023-11-28
86,"Manager, Software Development Engineering (.NET)","https://www.pracuj.pl/praca/manager-software-development-engineering-net-krakow,oferta,1002990706",,,,"Apptio is a global provider of a SaaS solution across Information Technology, multi-cloud FinOps, and product development., , We are seeking a Manager, Software Development Engineering for Apptio Poland. The first hires to Apptio Poland were in...",,"['Kubernetes', '.NET', 'Node.js', 'Python']",python,2023-11-28
87,Senior Machine Learning Engineer (NLP),"https://www.pracuj.pl/praca/senior-machine-learning-engineer-nlp-warszawa-chmielna-73,oferta,1002987820",,,18 000–30 000 zł / mies. (zal. od umowy),"Tidio is a swiftly growing tech company offering a top-rated online Customer Experience platform powered by AI-driven tools. Our goal is to create a frictionless customer experience for individual users and, at the same time, help small and medium...",,"['Python', 'PyTorch', 'NLP']",python,2023-11-28
88,Senior Data Engineer - DataOps,"https://www.pracuj.pl/praca/senior-data-engineer-dataops-warszawa-chmielna-73,oferta,1002987821",,,18 000–30 000 zł / mies. (zal. od umowy),"Tidio is a swiftly growing tech company offering a top-rated online Customer Experience platform powered by AI-driven tools. Our goal is to create a frictionless customer experience for individual users and, at the same time, help small and medium...",,"['Python', 'SQL', 'ETL', 'Airflow', 'Snowflake Data Cloud', 'AWS', 'Terraform', 'Ansible', 'Docker', 'Kubernetes', 'Spark']",python,2023-11-28
89,Senior DevOps Engineer for Cloud Platform,"https://www.pracuj.pl/praca/senior-devops-engineer-for-cloud-platform-krakow-aleja-generala-tadeusza-bora-komorowskiego-25,oferta,1002990730",,,,You will participate in an international project in the field of a platform for management of virtual network functions in core networks of the world’s largest telecommunication companies. We work in many areas on a cloud solution for Samsung’s...,,"['Python 3', 'Microservice architecture', 'WSGI', 'REST API', 'OpenAPI', 'Ansible', 'Helm', 'Bash', 'OpenStack', 'K8s (Kubernetes)', 'OpenShift', 'Windriver', 'KVM', 'libvirt', 'Docker', 'RHEL', 'GitLab']",python,2023-11-28
90,Production Engineering Specialist,"https://www.pracuj.pl/praca/production-engineering-specialist-krakow-kapelanka-42a,oferta,1002995572",,,,,,"['Script Shell', 'Java', 'Bash', 'Python', 'Perl']",python,2023-11-28
91,DevOps Engineer,"https://www.pracuj.pl/praca/devops-engineer-warszawa,oferta,1003001160",,,16 000–26 880 zł / mies. (zal. od umowy),"Poszukujemy Devops Engineer dla naszego Klienta - jednej z najdynamiczniej rozwijających się firm informatycznych w Polsce, która świadczy usługi tworzenia i utrzymania oprogramowania, aż po automatyzację procesów biznesowych dla kluczowych firm z...",,"['Jenkins', 'AWS', 'Git', 'Kubernetes', 'Docker']",python,2023-11-28
92,Data Scientist,"https://www.pracuj.pl/praca/data-scientist-wroclaw-wagonowa-2d,oferta,1003001401",,,17 000–32 000 zł / mies. (zal. od umowy),Internal IT Project Medplanic => Roster Planning Software designed by anesthesiologists in Switzerland for hospitals. The system provides flexible multi-weekly availability patterns with unlimited number of preferences set for every single day in...,,"['Python', 'Machine Learning']",python,2023-11-28
