,Tor wyścigowy Carrera Mario,https://www.olx.pl/d/oferta/tor-wyscigowy-carrera-mario-CID88-IDVXoGd.html,"Tor wyścigowy Carrera Mario <br />
Produkt powystawowy kompletny, sprawny. W wersji outletowej (jeden ludzik w autku ma doklejoną głowę)<br />
80 zł(Cena katalogowa 155 zł)<br />
W razie pytań proszę o wiadomość <br />
Zdjęcie przedstawia realny stan",871183713
10,Gra Nintendo Switch Mario Strikers Battle League Football,https://www.olx.pl/d/oferta/gra-nintendo-switch-mario-strikers-battle-league-football-CID99-IDXwlFJ.html,"Witam<br />
Posiadam na sprzedaż oryginalną grę Marto Strikers Battle League Football na Nintendo Switch. Gra w pełni sprawna i pozbawiona wad ukrytych. <br />
<br />
Polecam i zapraszam na moje pozostałe ogłoszenia.",879275303
11,Tor Hot Wheels Mario jak nowy,https://www.olx.pl/d/oferta/tor-hot-wheels-mario-jak-nowy-CID88-IDXutE5.html,"Tor Hot Wheels Mario jak nowy, stan idealny.<br />
Brak opakowania<br />
Świetna zabawa dla dzieci od 3 roku życia<br />
Odbiór osobisty",879067625
12,"Stara gra telewizyjna Mario,Kaczki,i wiele innych",https://www.olx.pl/d/oferta/stara-gra-telewizyjna-mario-kaczki-i-wiele-innych-CID4042-IDXwUpk.html,Stare gry telewizyjne gra działa dwa pady pistolet kabel czincz jest i zasilacz cały komplet by podłączyć i grać szkoda wyrzucić odbiór tylko osobisty,879408826
13,Limitowane Nintendo Switch V2 Mario Red and Blue Edition,https://www.olx.pl/d/oferta/limitowane-nintendo-switch-v2-mario-red-and-blue-edition-CID99-IDVP8ZI.html,"Limitowane Nintendo Switch V2 Mario Red and Blue Edition<br />
<br />
Stan bardzo dobry, bliski kolekcjonerskiemu.<br />
<br />
Na ekranie, jak i obudowie konsoli brak rys.<br />
Joy-con'y sprawne, bez ""driftu"", prawie nieużywane. Głównie używany Switch Pro Controller, nie będący w tej ofercie. Drobne ślady użytkowania na ładowarce. Pudełko w świetnym stanie.<br />
<br />
W zestawie znajduje się:<br />
<br />
- konsola Nintendo Switch,<br />
- kontrolery Joy-Con (P) i (L),<br />
- stacja dokująca z wejściem HDMI,<br />
- Joy-Con grip,<br />
- paski do Joy-Con'ów,<br />
- ładowarka,<br />
- kabel HDMI,<br />
- oryginalny case,<br />
- instrukcja,<br />
- pudełko.<br />
<br />
Jeśli ktoś szuka sprawdzonego zestawu tej limitowanej wersji, bez wad i uszkodzeń to serdecznie polecam i zapraszam do zakupu.<br />
<br />
W innych ogłoszeniach:<br />
<br />
Limitowany kolekcjonerski Pad Nintendo N64<br />
Kolekcjonerskie katalogi<br />
<br />
Preferuje odbiór osobisty, nie wysyłam  przez OLX.<br />
<br />
Kontakt przez OLX, lub telefoniczny.",869216794
14,Torba Mario Hernandez,https://www.olx.pl/d/oferta/torba-mario-hernandez-CID87-IDX8v66.html,"Oryginalna torba kolumbijskiego projektanta Mario Hernandez z kolekcji BUTTERFLIES, to wybór dla kobiet ceniących sobie luksusowe dodatki doskonałej jakości. Torba wykonana ze skóry.<br />
<br />
Niechciany prezent. Pierwotna cena ok. 1500zł.",873833834
15,Mario Puzo - Rodzina Borgiów (wersja kieszonkowa),https://www.olx.pl/d/oferta/mario-puzo-rodzina-borgiow-wersja-kieszonkowa-CID751-IDXkHKP.html,"WYPRZEDAŻ REGAŁOWA;)<br />
Oferuję tytuły z mojej biblioteki. Wszystkie w bardzo dobrym stanie.<br />
<br />
Potrzebujesz więcej info lub zdjęć? Napisz lub zadzwoń.<br />
Chcesz kupić więcej moich przedmiotów? Skontaktuj się ze mną i zmoderuję ogłoszenie odpowiednio, aby umożliwić zakup z jedną przesyłką OLX (gwarantuję solidne zapakowanie na czas transportu). Zachęcam także do odbioru osobistego (Warszawa-Rembertów).<br />
<br />
Intrygi rodziny, której nazwisko zawsze było synonimem władzy, korupcji i zbrodni – niesławnych Borgiów. Na tle barwnego zgiełku włoskiego renesansu rozgrywa się partia śmiertelnej gry, której stawką jest władza nad centrum świata – Rzymem.<br />
Opowieść o korupcji, chciwości, zdradzie i grzechu oraz o początkach włoskiej mafii, która sięga XV wieku i… papieskiego urzędu.<br />
Kardynał Rodrigo Borgia został w 1492 r. wybrany na papieża, bynajmniej nie za zalety duchowe i świętość za życia. To człowiek opętany żądzą bogactwa i władzy, zręczny polityk bez skrupułów eliminujący rywali i wrogów, choć niepozbawiony pewnej szlachetności. Jego dzieci – Juan, Jofre, Cezar i Lukrecja – miały wspierać go w drodze do umocnienia największego imperium świata, tymczasem różnymi sposobami próbują zagarnąć dla siebie jak najwięcej władzy.<br />
Ale w pokrętny sposób pozostają wierni Rodzinie. Bo Rodzina nie wybacza nielojalności. Zwłaszcza rodzina Borgiów.",876738579
16,"Buty świecące Geox z serii Mario, rozmiar 29",https://www.olx.pl/d/oferta/buty-swiecace-geox-z-serii-mario-rozmiar-29-CID88-IDXenBW.html,"Do sprzedania ekstra buty chłopięce marki Geox, z serii Mario - świecące (światła z możliwością wyłączenia).<br />
Długość wkładki ok. 17,3cm<br />
Stan bardzo dobry.",875231179
17,SUPER MARIO stroj przebranie 110cm,https://www.olx.pl/d/oferta/super-mario-stroj-przebranie-110cm-CID88-IDXs4fS.html,"Sprzedam przebranie super Mario 110 cm dla chłopca <br />
Możliwa wysyłka przez olx <br />
Zapraszam",878493368
18,OKAZJA Nintendo super Mario 3D all stars,https://www.olx.pl/d/oferta/okazja-nintendo-super-mario-3d-all-stars-CID99-IDXtcTW.html,Gra jest w stanie idealnym zapraszam do zakupu preferuję przesyłkę olx,878764931
19,Lego Super Mario 71360 + 71373,https://www.olx.pl/d/oferta/lego-super-mario-71360-71373-CID88-IDXdq61.html,Sprzedam klocki Lego zestaw Mario + dodatek. Wszystko sprawne i zapakowane w woreczki. Instrukcja elektronicza. Pozdrawiam,875002405
