,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
19,Front End Developer,careerjet.pl/jobad/pl46e3bb3d648962f64646979b19b002d5,FutureSight Studios LTD,"Katowice, śląskie",,"Responsibilities   - Build web applications with web development best practices   - Transform app designs into front-end code with HTML, CSS, and JavaScript   - Work with back-end …",,,python,2023-12-02
20,Java Developer,careerjet.pl/jobad/plcec84e77ec96538fb855b9dabf9727ce,Scalo,"Kraków, małopolskie",,"Cześć! Cieszymy się, że czytasz nasze ogłoszenie! Szukasz dla siebie czegoś nowego? Dobrze się składa - mamy o czym rozmawiać!   Sprawdź, co czeka Cię w Scalo:  uczestnictwo w proj…",,,python,2023-12-02
21,Angular Developer,careerjet.pl/jobad/pld94ca05e1c488240abeb40cc0ebb3d5c,Apps Garden,"Kraków, małopolskie",,Apps Garden tworzy zespół doświadczonych i kreatywnych ludzi zakręconych na punkcie IT. Stawiamy na pasję i otwartość w tworzeniu rozwiązań dla naszych polskich i zagranicznych Kli…,,,python,2023-12-02
22,Senior Frontend Developer @ Knowde,careerjet.pl/jobad/pl7d0493d88818c9958039f95bf37d3a30,Knowde,"Białystok, podlaskie",,SKILLS WE’RE LOOKING FOR:  At least 5 years of professional experience in an FE-related role  Strong proficiency in react.js - must have  High level of proficiency in JavaScript (E…,,,python,2023-12-02
23,NET Developer,careerjet.pl/jobad/pla31941610922bde090d3fda1f431824e,William Hill,"Kraków, małopolskie",,"Job description   We are seeking a highly skilled and versatile Fullstack .NET Engineer with expertise in Docker, AWS, and TypeScript to join our dynamic development team. The proj…",,,python,2023-12-02
24,Frontend Developer - React (Middle+/Senior),careerjet.pl/jobad/plafd85bafc6a73aafd09ac888448be712,Fyst,"Warszawa, mazowieckie",,⚡What You'll Do   Creating new functionality  Fixing bugs  Refactoring and optimization of current applications  Code reviews  Participation in planning the architecture of new app…,,,python,2023-12-02
25,Full Stack Software Engineer,careerjet.pl/jobad/pl2669bb9c6cfef61800a77bfff6453c03,Equiniti,"Kraków, małopolskie",,Management Level E   Job Description   Our young and rapidly growing team at EQ is looking to fill out a vacant position of Full Stack Software Engineer. You are going to work toge…,,,python,2023-12-02
26,Senior Full Stack Engineer,careerjet.pl/jobad/pl5bdae8cecbfb3de0de99aa58849939ef,Manpower,"Katowice, śląskie",,"For our Client - an American telecommunications company, in which laboratory many important technologies were created and for which employees received the Nobel Prize (in Poland, t…",,,python,2023-12-02
27,Frontend Developer,careerjet.pl/jobad/pl86c75949d6850221a99d72035ab29879,Hays,"Katowice, śląskie",,"Frontend Developer  Katowice  NR REF.: 1178641   Your new company   Company is an acclaimed global player in cloud services for retail, which is recognised and awarded for ability …",,,python,2023-12-02
28,Senior Frontend Developer (Angular),careerjet.pl/jobad/pl40af788cc35d449f56ed25c15b7b3636,Hays,"Wrocław, dolnośląskie",,"Senior Frontend Developer (Angular)  Wroclaw  NR REF.: 1181757   Your new company   For our client, a software company that provides health solutions, we are looking for a Senior F…",,,python,2023-12-02
